table,variable,n_nonmissing,missing_rate,top_values
female_respondent,CaseID,5586,0.0,96064:1; 96066:1; 96068:1; 96071:1; 96072:1; 96074:1; 96075:1; 96080:1
female_respondent,WGT2022_2023,5586,0.0,37222.2551:21; 51639.02918:19; 44976.08134:18; 44144.34894:17; 36356.28092:14; 38205.39389:9; 35530.16188:8; 34256.91443:8
female_respondent,VEST,5586,0.0,15:420; 16:406; 8:389; 19:371; 20:356; 4:355; 17:328; 2:299
female_respondent,VECL,5586,0.0,1:1544; 3:1436; 4:1398; 2:1208
female_respondent,AGE_R,5586,0.0,32:227; 33:217; 30:206; 31:198; 35:190; 37:189; 38:189; 29:183
female_respondent,AGER,5586,0.0,32:227; 33:217; 30:206; 31:198; 35:190; 37:189; 38:189; 29:183
female_respondent,HISP,5586,0.0,5:4349; 1:1229; 9:5; 8:3
female_respondent,HISPANIC,5586,0.0,2:4354; 1:1232
female_respondent,HISPRACE2,5586,0.0,2:2789; 1:1232; 3:844; 4:721
female_respondent,WOMRASDU,1733,0.6898,<NA>:3853; 1:1220; 2:442; 3:65; 8:4; 9:2
female_respondent,HIEDUC,5586,0.0,8:1267; 5:956; 4:807; 9:752; 1:623; 6:353; 7:282; 2:169
female_respondent,POVERTY,5586,0.0,50:552; 635:388; 537:342; 417:316; 686:167; 451:141; 700:133; 580:131
female_respondent,MARSTAT,5586,0.0,3:2808; 1:2100; 2:669; 8:8; 9:1
female_respondent,FMARITAL,5586,0.0,5:3024; 1:2060; 3:365; 4:112; 2:25
female_respondent,RMARITAL,5586,0.0,6:2498; 1:2060; 2:627; 4:283; 5:94; 3:24
female_respondent,EVERSEX,1627,0.7087,<NA>:3959; 5:901; 1:659; 8:34; 7:32; 9:1
female_respondent,RHADSEX,5586,0.0,1:4554; 5:1032
female_respondent,CURRPREG,5586,0.0,5:5414; 1:172
female_respondent,LASTPREG,3076,0.4493,<NA>:2510; 3:1579; 2:975; 1:522
female_respondent,PREGNUM,5586,0.0,0:2510; 2:922; 1:774; 3:653; 4:353; 5:169; 6:113; 7:50
female_respondent,PARITY,5586,0.0,0:2833; 2:1009; 1:931; 3:488; 4:202; 5:65; 6:31; 7:12
female_respondent,NUMCHILD,5586,0.0,0:3456; 2:1153; 1:977
female_respondent,MENARCHE,5586,0.0,12:1564; 13:1233; 11:881; 14:673; 10:379; 15:312; 9:192; 16:156
female_respondent,TRYLONG,18,0.9968,<NA>:5568; 1:8; 3:6; 2:4
female_respondent,EVCONTAG,1633,0.7077,<NA>:3953; 5:1543; 1:90
female_respondent,EVWNTANO,5119,0.0836,5:3466; 1:1633; <NA>:467; 9:13; 8:7
female_respondent,HRDEMBRYO,5188,0.0712,1:3392; 5:1785; <NA>:398; 8:8; 9:3
female_respondent,EVERADOPT,5188,0.0712,5:5170; <NA>:398; 1:13; 8:5
female_respondent,SEEKADPT,5188,0.0712,5:5107; <NA>:398; 1:69; 9:9; 8:3
female_pregnancy,CaseID,8247,0.0,105478:16; 100046:13; 100825:13; 101133:13; 98936:12; 105057:12; 98364:11; 105822:11
female_pregnancy,WGT2022_2023,8247,0.0,37222.2551:50; 44976.08134:48; 36356.28092:33; 35530.16188:25; 50295.25001:21; 38205.39389:21; 53979.37854:19; 40475.39203:16
female_pregnancy,VEST,8247,0.0,16:567; 19:538; 15:535; 20:535; 4:525; 8:518; 17:508; 6:468
female_pregnancy,VECL,8247,0.0,1:2446; 4:2117; 3:2038; 2:1646
female_pregnancy,AGER,8247,0.0,37:425; 38:420; 36:403; 33:399; 39:394; 41:392; 35:367; 43:366
female_pregnancy,HISPANIC,8247,0.0,2:6320; 1:1927
female_pregnancy,HISPRACE2,8247,0.0,2:3922; 1:1927; 3:1524; 4:874
female_pregnancy,HIEDUC,8247,0.0,8:1656; 5:1595; 4:1191; 9:960; 6:695; 1:686; 7:461; 3:373
female_pregnancy,POVERTY,8247,0.0,50:1139; 417:610; 537:390; 635:285; 451:261; 352:218; 292:148; 376:138
female_pregnancy,FMARITAL,8247,0.0,1:4455; 5:2525; 3:879; 4:325; 2:63
female_pregnancy,RMARITAL,8247,0.0,1:4455; 6:1805; 2:1018; 4:652; 5:261; 3:56
female_pregnancy,PREGNUM,8247,0.0,3:1959; 2:1844; 4:1412; 5:845; 1:774; 6:678; 7:350; 8:192
female_pregnancy,PARITY,8247,0.0,2:2690; 3:1770; 1:1559; 4:928; 0:526; 5:374; 6:199; 7:81
female_pregnancy,OUTCOME,8247,0.0,1:5755; 4:1405; 2:728; 6:172; 5:99; 3:88
female_pregnancy,BORNALIV,5748,0.303,1:5659; <NA>:2499; 2:89
female_pregnancy,RECNT5YRPRG,8229,0.0022,5:5749; 1:2480; <NA>:18
female_pregnancy,KNEWPREG,2138,0.7408,<NA>:6109; 1:1875; 2:181; 3:55; 4:14; 9:7; 8:6
female_pregnancy,PRIORSMK,2138,0.7408,<NA>:6109; 0:1877; 3:96; 2:69; 4:58; 1:29; 8:4; 5:3
female_pregnancy,POSTSMKS,2138,0.7408,<NA>:6109; 5:2007; 1:128; 8:3
female_pregnancy,GETPRENA,2138,0.7408,<NA>:6109; 1:1953; 5:182; 8:2; 9:1
female_pregnancy,BGNPRENA,1953,0.7632,<NA>:6294; 1:1766; 2:171; 3:13; 9:3
female_pregnancy,GEST_LB,5755,0.3022,3:4267; <NA>:2492; 4:875; 2:387; 1:226
female_pregnancy,GEST_OTHR,1947,0.7639,<NA>:6300; 1:1572; 2:251; 3:124
female_pregnancy,GestImp,8247,0.0,2:8162; 1:85
female_pregnancy,BIRTHWGT,5627,0.3177,1:5261; <NA>:2620; 2:353; 8:10; 9:3
female_pregnancy,WANTBOLD,3892,0.5281,<NA>:4355; 1:2253; 5:1490; 6:73; 98:69; 99:7
female_pregnancy,TIMINGOK,6101,0.2602,2:4052; <NA>:2146; 1:1346; 3:579; 4:53; 8:52; 9:19
female_pregnancy,NEWWANTR,7702,0.0661,2:4135; 6:1531; 4:957; 1:596; <NA>:545; 3:417; 5:55; 7:11
female_pregnancy,wantresp,7702,0.0661,2:4135; 5:1531; 3:1374; 1:596; <NA>:545; 4:55; 6:11
female_pregnancy,WANTPART,7702,0.0661,2:4048; 5:2009; 3:893; <NA>:545; 1:477; 6:245; 4:30
