analysis,endpoint,phenotype,n,events,weighted_prevalence,baseline_weighted_prevalence,prevalence_ratio,risk_difference,subgroup_type,subgroup
age_group: 15-24,contraceptive_vulnerability,0,1165,52,0.038993313332522046,0.04886689077045927,0.7979495465689431,-0.009873577437937223,age_group,15-24
age_group: 15-24,contraceptive_vulnerability,1,155,22,0.1327749102841325,0.04886689077045927,2.717073015916061,0.08390801951367322,age_group,15-24
age_group: 15-24,contraceptive_vulnerability,2,16,0,0.0,0.04886689077045927,0.0,-0.04886689077045927,age_group,15-24
age_group: 15-24,fertility_service_or_loss_help,0,1165,17,0.010888642921317328,0.023739936098794115,0.45866353119082,-0.012851293177476786,age_group,15-24
age_group: 15-24,fertility_service_or_loss_help,1,155,18,0.1275212085681382,0.023739936098794115,5.3715902198496535,0.10378127246934409,age_group,15-24
age_group: 15-24,fertility_service_or_loss_help,2,16,1,0.03128151572956593,0.023739936098794115,1.3176748075221187,0.007541579630771816,age_group,15-24
age_group: 15-24,unintended_mistimed_pregnancy_history,0,1165,9,0.01027224893813797,0.10339536148197956,0.09934922409385151,-0.09312311254384159,age_group,15-24
age_group: 15-24,unintended_mistimed_pregnancy_history,1,155,124,0.8084357387133521,0.10339536148197956,7.818878208131722,0.7050403772313725,age_group,15-24
age_group: 15-24,unintended_mistimed_pregnancy_history,2,16,12,0.7733576280721642,0.10339536148197956,7.479616270860954,0.6699622665901847,age_group,15-24
age_group: 15-24,adverse_pregnancy_history_proxy,0,1165,0,0.0,0.007191665102129099,0.0,-0.007191665102129099,age_group,15-24
age_group: 15-24,adverse_pregnancy_history_proxy,1,155,16,0.059153292158632104,0.007191665102129099,8.225256782482782,0.05196162705650301,age_group,15-24
age_group: 15-24,adverse_pregnancy_history_proxy,2,16,2,0.09150269621137444,0.007191665102129099,12.723436771865945,0.08431103110924534,age_group,15-24
age_group: 15-24,impaired_fecundity_status,0,1165,130,0.11752668201644087,0.13193528704110993,0.8907903613369222,-0.014408605024669063,age_group,15-24
age_group: 15-24,impaired_fecundity_status,1,155,36,0.24120213191248147,0.13193528704110993,1.8281851453229863,0.10926684487137153,age_group,15-24
age_group: 15-24,impaired_fecundity_status,2,16,4,0.23325856293641986,0.13193528704110993,1.7679770754865485,0.10132327589530993,age_group,15-24
age_group: 25-34,contraceptive_vulnerability,0,824,68,0.08477694931915389,0.10424871182883616,0.8132181955240602,-0.019471762509682272,age_group,25-34
age_group: 25-34,contraceptive_vulnerability,1,924,113,0.11880138165078799,0.10424871182883616,1.139595680048743,0.01455266982195183,age_group,25-34
age_group: 25-34,contraceptive_vulnerability,2,83,9,0.14278285398773738,0.10424871182883616,1.3696366265145765,0.03853414215890122,age_group,25-34
age_group: 25-34,fertility_service_or_loss_help,0,824,35,0.05338209254111953,0.10209041539201927,0.5228903451527398,-0.04870832285089974,age_group,25-34
age_group: 25-34,fertility_service_or_loss_help,1,924,136,0.1451859060335527,0.10209041539201927,1.4221306228998098,0.043095490641533424,age_group,25-34
age_group: 25-34,fertility_service_or_loss_help,2,83,11,0.1256552804957827,0.10209041539201927,1.2308234814529473,0.023564865103763433,age_group,25-34
age_group: 25-34,unintended_mistimed_pregnancy_history,0,824,23,0.03003759898288736,0.3821389629043306,0.07860386377404636,-0.3521013639214432,age_group,25-34
age_group: 25-34,unintended_mistimed_pregnancy_history,1,924,650,0.6889843440536262,0.3821389629043306,1.8029680585753698,0.3068453811492956,age_group,25-34
age_group: 25-34,unintended_mistimed_pregnancy_history,2,83,56,0.6034367928752578,0.3821389629043306,1.5791030265247503,0.22129782997092717,age_group,25-34
age_group: 25-34,adverse_pregnancy_history_proxy,0,824,4,0.0066117695785944015,0.05940645815133539,0.11129715159505392,-0.052794688572740986,age_group,25-34
age_group: 25-34,adverse_pregnancy_history_proxy,1,924,87,0.09432114049129685,0.05940645815133539,1.5877253656667734,0.03491468233996146,age_group,25-34
age_group: 25-34,adverse_pregnancy_history_proxy,2,83,14,0.21332103408367847,0.05940645815133539,3.5908727892892105,0.1539145759323431,age_group,25-34
age_group: 25-34,impaired_fecundity_status,0,824,180,0.21856505832939493,0.2573932066977759,0.8491485114680128,-0.038828148368380944,age_group,25-34
age_group: 25-34,impaired_fecundity_status,1,924,248,0.289349743308643,0.2573932066977759,1.1241545455719413,0.031956536610867115,age_group,25-34
age_group: 25-34,impaired_fecundity_status,2,83,26,0.302266709394407,0.2573932066977759,1.174338333448405,0.044873502696631096,age_group,25-34
age_group: 35-44,contraceptive_vulnerability,0,438,26,0.06590576832592532,0.08038704732348423,0.8198555677846329,-0.01448127899755891,age_group,35-44
age_group: 35-44,contraceptive_vulnerability,1,1145,103,0.0886736013952462,0.08038704732348423,1.1030831999391169,0.008286554071761973,age_group,35-44
age_group: 35-44,contraceptive_vulnerability,2,143,12,0.04938667780205495,0.08038704732348423,0.6143611371035785,-0.03100036952142928,age_group,35-44
age_group: 35-44,fertility_service_or_loss_help,0,438,62,0.15676468161630824,0.2060411785507007,0.7608415109979244,-0.049276496934392455,age_group,35-44
age_group: 35-44,fertility_service_or_loss_help,1,1145,243,0.21734881935048408,0.2060411785507007,1.0548804898094724,0.011307640799783386,age_group,35-44
age_group: 35-44,fertility_service_or_loss_help,2,143,32,0.22915609935265385,0.2060411785507007,1.1121859279030732,0.023114920801953154,age_group,35-44
age_group: 35-44,unintended_mistimed_pregnancy_history,0,438,19,0.06181030339559005,0.5366378193094439,0.11518066966493112,-0.4748275159138538,age_group,35-44
age_group: 35-44,unintended_mistimed_pregnancy_history,1,1145,732,0.6345866192246572,0.5366378193094439,1.182523102902542,0.09794879991521332,age_group,35-44
age_group: 35-44,unintended_mistimed_pregnancy_history,2,143,113,0.8432169169801932,0.5366378193094439,1.5712961081745251,0.3065790976707493,age_group,35-44
age_group: 35-44,adverse_pregnancy_history_proxy,0,438,3,0.022700424181613735,0.09389758070568659,0.24175728502277546,-0.07119715652407285,age_group,35-44
age_group: 35-44,adverse_pregnancy_history_proxy,1,1145,116,0.0957540558528814,0.09389758070568659,1.0197712777394528,0.0018564751471948082,age_group,35-44
age_group: 35-44,adverse_pregnancy_history_proxy,2,143,32,0.2375602717280492,0.09389758070568659,2.5299935306390933,0.14366269102236262,age_group,35-44
age_group: 35-44,impaired_fecundity_status,0,438,156,0.34623449276566604,0.45275914882015916,0.7647211407387686,-0.10652465605449313,age_group,35-44
age_group: 35-44,impaired_fecundity_status,1,1145,523,0.48019482944261715,0.45275914882015916,1.060596634422413,0.027435680622457992,age_group,35-44
age_group: 35-44,impaired_fecundity_status,2,143,64,0.4799532233016042,0.45275914882015916,1.060063003811872,0.027194074481445063,age_group,35-44
race_ethnicity: 1,contraceptive_vulnerability,0,546,39,0.05816685907652514,0.08649503404845496,0.6724878453014975,-0.02832817497192982,race_ethnicity,1
race_ethnicity: 1,contraceptive_vulnerability,1,477,58,0.12855009300037734,0.08649503404845496,1.4862135660685782,0.04205505895192238,race_ethnicity,1
race_ethnicity: 1,contraceptive_vulnerability,2,67,5,0.034067902615772465,0.08649503404845496,0.39387119723760616,-0.052427131432682496,race_ethnicity,1
race_ethnicity: 1,fertility_service_or_loss_help,0,546,24,0.04160361706356683,0.10732443930769574,0.3876434606314652,-0.06572082224412891,race_ethnicity,1
race_ethnicity: 1,fertility_service_or_loss_help,1,477,75,0.17192547451400406,0.10732443930769574,1.6019228763087148,0.06460103520630832,race_ethnicity,1
race_ethnicity: 1,fertility_service_or_loss_help,2,67,12,0.17255406126251494,0.10732443930769574,1.6077797599091848,0.0652296219548192,race_ethnicity,1
race_ethnicity: 1,unintended_mistimed_pregnancy_history,0,546,15,0.03970636146828122,0.3711839083523253,0.10697220589259007,-0.33147754688404407,race_ethnicity,1
race_ethnicity: 1,unintended_mistimed_pregnancy_history,1,477,332,0.683875960596232,0.3711839083523253,1.8424181253760104,0.3126920522439067,race_ethnicity,1
race_ethnicity: 1,unintended_mistimed_pregnancy_history,2,67,51,0.774651431400538,0.3711839083523253,2.0869747151464444,0.40346752304821276,race_ethnicity,1
race_ethnicity: 1,adverse_pregnancy_history_proxy,0,546,2,0.011518271659438372,0.0738098835167378,0.15605324260979744,-0.06229161185729942,race_ethnicity,1
race_ethnicity: 1,adverse_pregnancy_history_proxy,1,477,60,0.12810394288286198,0.0738098835167378,1.7355933484681894,0.05429405936612418,race_ethnicity,1
race_ethnicity: 1,adverse_pregnancy_history_proxy,2,67,16,0.17495214041157092,0.0738098835167378,2.3703077701226447,0.10114225689483312,race_ethnicity,1
race_ethnicity: 1,impaired_fecundity_status,0,546,98,0.17389872606254017,0.2778466646477181,0.6258802000845554,-0.10394793858517795,race_ethnicity,1
race_ethnicity: 1,impaired_fecundity_status,1,477,174,0.38013437158820496,0.2778466646477181,1.3681444478384415,0.10228770694048683,race_ethnicity,1
race_ethnicity: 1,impaired_fecundity_status,2,67,28,0.38038913887699827,0.2778466646477181,1.36906138268492,0.10254247422928014,race_ethnicity,1
race_ethnicity: 2,contraceptive_vulnerability,0,1202,56,0.04311687009716595,0.06256336314270082,0.6891712326720776,-0.01944649304553487,race_ethnicity,2
race_ethnicity: 2,contraceptive_vulnerability,1,1154,94,0.07945938718583719,0.06256336314270082,1.2700625924568378,0.016896024043136365,race_ethnicity,2
race_ethnicity: 2,contraceptive_vulnerability,2,84,9,0.14897473979000886,0.06256336314270082,2.3811817700754396,0.08641137664730804,race_ethnicity,2
race_ethnicity: 2,fertility_service_or_loss_help,0,1202,59,0.0443058068058308,0.11992758126905002,0.3694380086465139,-0.07562177446321922,race_ethnicity,2
race_ethnicity: 2,fertility_service_or_loss_help,1,1154,238,0.1979900023186863,0.11992758126905002,1.6509129945221535,0.07806242104963627,race_ethnicity,2
race_ethnicity: 2,fertility_service_or_loss_help,2,84,20,0.26483965669703746,0.11992758126905002,2.208329842848129,0.14491207542798745,race_ethnicity,2
race_ethnicity: 2,unintended_mistimed_pregnancy_history,0,1202,14,0.007864918473066664,0.31676278431786037,0.024829048305038556,-0.30889786584479373,race_ethnicity,2
race_ethnicity: 2,unintended_mistimed_pregnancy_history,1,1154,749,0.6471480832882972,0.31676278431786037,2.0430054139153757,0.33038529897043684,race_ethnicity,2
race_ethnicity: 2,unintended_mistimed_pregnancy_history,2,84,59,0.7305804714765733,0.31676278431786037,2.3063961666136303,0.413817687158713,race_ethnicity,2
race_ethnicity: 2,adverse_pregnancy_history_proxy,0,1202,0,0.0,0.03469566148945298,0.0,-0.03469566148945298,race_ethnicity,2
race_ethnicity: 2,adverse_pregnancy_history_proxy,1,1154,81,0.06208062847430477,0.03469566148945298,1.7892908164663888,0.027384966984851787,race_ethnicity,2
race_ethnicity: 2,adverse_pregnancy_history_proxy,2,84,14,0.23155236379269084,0.03469566148945298,6.673813204659023,0.19685670230323787,race_ethnicity,2
race_ethnicity: 2,impaired_fecundity_status,0,1202,258,0.19422941628725163,0.3117226514241988,0.6230840633488007,-0.11749323513694718,race_ethnicity,2
race_ethnicity: 2,impaired_fecundity_status,1,1154,471,0.4340430065039256,0.3117226514241988,1.3924012404003026,0.12232035507972677,race_ethnicity,2
race_ethnicity: 2,impaired_fecundity_status,2,84,39,0.5208650158075651,0.3117226514241988,1.670924501084013,0.20914236438336625,race_ethnicity,2
race_ethnicity: 3,contraceptive_vulnerability,0,325,26,0.1024997369429607,0.11232727186001709,0.9125098050159758,-0.009827534917056388,race_ethnicity,3
race_ethnicity: 3,contraceptive_vulnerability,1,360,50,0.12397421833738065,0.11232727186001709,1.1036876110716731,0.011646946477363557,race_ethnicity,3
race_ethnicity: 3,contraceptive_vulnerability,2,49,5,0.09531415014197081,0.11232727186001709,0.8485397051283491,-0.01701312171804628,race_ethnicity,3
race_ethnicity: 3,fertility_service_or_loss_help,0,325,15,0.035339497710717795,0.08018220289358337,0.44073992027407694,-0.04484270518286557,race_ethnicity,3
race_ethnicity: 3,fertility_service_or_loss_help,1,360,39,0.12115366214030325,0.08018220289358337,1.510979466367326,0.04097145924671988,race_ethnicity,3
race_ethnicity: 3,fertility_service_or_loss_help,2,49,4,0.10626479377835078,0.08018220289358337,1.3252915228505737,0.026082590884767415,race_ethnicity,3
race_ethnicity: 3,unintended_mistimed_pregnancy_history,0,325,12,0.052276111677266486,0.4522168503920268,0.1155996545284598,-0.3999407387147603,race_ethnicity,3
race_ethnicity: 3,unintended_mistimed_pregnancy_history,1,360,279,0.7979466978558953,0.4522168503920268,1.7645222577711452,0.34572984746386853,race_ethnicity,3
race_ethnicity: 3,unintended_mistimed_pregnancy_history,2,49,43,0.8525465773289659,0.4522168503920268,1.885260526205278,0.4003297269369391,race_ethnicity,3
race_ethnicity: 3,adverse_pregnancy_history_proxy,0,325,4,0.017777387652586855,0.08040088038810807,0.22110936555386615,-0.06262349273552122,race_ethnicity,3
race_ethnicity: 3,adverse_pregnancy_history_proxy,1,360,54,0.13256991131185913,0.08040088038810807,1.64886143872956,0.05216903092375107,race_ethnicity,3
race_ethnicity: 3,adverse_pregnancy_history_proxy,2,49,9,0.15983534436109484,0.08040088038810807,1.9879800269542292,0.07943446397298677,race_ethnicity,3
race_ethnicity: 3,impaired_fecundity_status,0,325,50,0.11413691497066941,0.19771755566336344,0.577272537017403,-0.08358064069269402,race_ethnicity,3
race_ethnicity: 3,impaired_fecundity_status,1,360,82,0.2540965542346063,0.19771755566336344,1.285149178493965,0.05637899857124287,race_ethnicity,3
race_ethnicity: 3,impaired_fecundity_status,2,49,15,0.41661011638205847,0.19771755566336344,2.1070972427526082,0.21889256071869503,race_ethnicity,3
race_ethnicity: 4,contraceptive_vulnerability,0,354,25,0.06477745851586347,0.09218888347722372,0.7026601914738175,-0.027411424961360245,race_ethnicity,4
race_ethnicity: 4,contraceptive_vulnerability,1,233,36,0.15084301492249622,0.09218888347722372,1.636238657340542,0.0586541314452725,race_ethnicity,4
race_ethnicity: 4,contraceptive_vulnerability,2,42,2,0.01878392422561248,0.09218888347722372,0.20375476431768758,-0.07340495925161124,race_ethnicity,4
race_ethnicity: 4,fertility_service_or_loss_help,0,354,16,0.04761421128286688,0.11256986042522477,0.4229747740914622,-0.06495564914235788,race_ethnicity,4
race_ethnicity: 4,fertility_service_or_loss_help,1,233,45,0.2076177256241715,0.11256986042522477,1.8443455898400343,0.09504786519894673,race_ethnicity,4
race_ethnicity: 4,fertility_service_or_loss_help,2,42,8,0.14378748674124786,0.11256986042522477,1.277317802457076,0.031217626316023095,race_ethnicity,4
race_ethnicity: 4,unintended_mistimed_pregnancy_history,0,354,10,0.030787287850138616,0.2821955117792122,0.10909914071995012,-0.2514082239290736,race_ethnicity,4
race_ethnicity: 4,unintended_mistimed_pregnancy_history,1,233,146,0.5798591594848188,0.2821955117792122,2.0548135433794443,0.2976636477056066,race_ethnicity,4
race_ethnicity: 4,unintended_mistimed_pregnancy_history,2,42,28,0.7308504673678806,0.2821955117792122,2.5898727543891376,0.4486549555886684,race_ethnicity,4
race_ethnicity: 4,adverse_pregnancy_history_proxy,0,354,1,0.003265568163403193,0.07009110892028352,0.04659033383417019,-0.06682554075688033,race_ethnicity,4
race_ethnicity: 4,adverse_pregnancy_history_proxy,1,233,24,0.11861326448019349,0.07009110892028352,1.692272619271804,0.04852215555990998,race_ethnicity,4
race_ethnicity: 4,adverse_pregnancy_history_proxy,2,42,9,0.33220632560352503,0.07009110892028352,4.73963575011136,0.2621152166832415,race_ethnicity,4
race_ethnicity: 4,impaired_fecundity_status,0,354,60,0.18087864424532063,0.24871282550877313,0.7272590139865557,-0.0678341812634525,race_ethnicity,4
race_ethnicity: 4,impaired_fecundity_status,1,233,80,0.347400660784776,0.24871282550877313,1.396794315187102,0.09868783527600286,race_ethnicity,4
race_ethnicity: 4,impaired_fecundity_status,2,42,12,0.28398499358748813,0.24871282550877313,1.1418188547637678,0.035272168078715,race_ethnicity,4
poverty_group: 100-199% FPL,contraceptive_vulnerability,0,413,23,0.04922351888622534,0.08796159096434604,0.5596024167659426,-0.0387380720781207,poverty_group,100-199% FPL
poverty_group: 100-199% FPL,contraceptive_vulnerability,1,478,61,0.12382852310276674,0.08796159096434604,1.40775674638444,0.035866932138420696,poverty_group,100-199% FPL
poverty_group: 100-199% FPL,contraceptive_vulnerability,2,54,6,0.08477454499413709,0.08796159096434604,0.9637677543656438,-0.0031870459702089543,poverty_group,100-199% FPL
poverty_group: 100-199% FPL,fertility_service_or_loss_help,0,413,12,0.024634070065610126,0.09083690444556064,0.2711901095261733,-0.06620283437995052,poverty_group,100-199% FPL
poverty_group: 100-199% FPL,fertility_service_or_loss_help,1,478,61,0.1456061150692727,0.09083690444556064,1.602940082095551,0.05476921062371207,poverty_group,100-199% FPL
poverty_group: 100-199% FPL,fertility_service_or_loss_help,2,54,8,0.13742143706481397,0.09083690444556064,1.5128370776568223,0.04658453261925333,poverty_group,100-199% FPL
poverty_group: 100-199% FPL,unintended_mistimed_pregnancy_history,0,413,14,0.05159720592164378,0.4336677907565619,0.11897864453255583,-0.3820705848349181,poverty_group,100-199% FPL
poverty_group: 100-199% FPL,unintended_mistimed_pregnancy_history,1,478,344,0.7341182609197607,0.4336677907565619,1.6928125089461756,0.3004504701631988,poverty_group,100-199% FPL
poverty_group: 100-199% FPL,unintended_mistimed_pregnancy_history,2,54,40,0.8271504173052362,0.4336677907565619,1.9073365256437838,0.3934826265486743,poverty_group,100-199% FPL
poverty_group: 100-199% FPL,adverse_pregnancy_history_proxy,0,413,2,0.01756217001202467,0.06515712777038478,0.2695356688206724,-0.047594957758360104,poverty_group,100-199% FPL
poverty_group: 100-199% FPL,adverse_pregnancy_history_proxy,1,478,47,0.08921267663821762,0.06515712777038478,1.3691928986281463,0.024055548867832843,poverty_group,100-199% FPL
poverty_group: 100-199% FPL,adverse_pregnancy_history_proxy,2,54,10,0.22077207655876502,0.06515712777038478,3.3883027707539672,0.15561494878838023,poverty_group,100-199% FPL
poverty_group: 100-199% FPL,impaired_fecundity_status,0,413,70,0.14569974396520355,0.3049011859565902,0.4778588955240971,-0.15920144199138667,poverty_group,100-199% FPL
poverty_group: 100-199% FPL,impaired_fecundity_status,1,478,182,0.43901656890919966,0.3049011859565902,1.4398650747514767,0.13411538295260944,poverty_group,100-199% FPL
poverty_group: 100-199% FPL,impaired_fecundity_status,2,54,20,0.3977215254415284,0.3049011859565902,1.3044276105182264,0.09282033948493817,poverty_group,100-199% FPL
poverty_group: <100% FPL,contraceptive_vulnerability,0,395,25,0.05903116034578298,0.0861321889887171,0.6853553942941792,-0.02710102864293413,poverty_group,<100% FPL
poverty_group: <100% FPL,contraceptive_vulnerability,1,478,62,0.10856055220475531,0.0861321889887171,1.2603946733430427,0.022428363216038208,poverty_group,<100% FPL
poverty_group: <100% FPL,contraceptive_vulnerability,2,92,10,0.09730837193354479,0.0861321889887171,1.1297561698599312,0.011176182944827681,poverty_group,<100% FPL
poverty_group: <100% FPL,fertility_service_or_loss_help,0,395,11,0.0203494182226172,0.07507194643754907,0.27106554696227964,-0.05472252821493187,poverty_group,<100% FPL
poverty_group: <100% FPL,fertility_service_or_loss_help,1,478,53,0.1013743809832043,0.07507194643754907,1.3503630289849449,0.02630243454565523,poverty_group,<100% FPL
